Date,3696,3701,3478,3685,4287,3657
2023-03-21 21:56:19,1019,1019,1019,,,
2023-03-21 22:15:18,1019,1019,1019,,,
2023-03-21 23:31:45,1019,1019,1019,,,
2023-03-22 00:18:07,1019,1019,1019,,,
2023-03-22 00:37:05,1019,1019,1019,1019,989,1069
2023-03-22 10:48:52,1029,1019,1019,1019,989,1069
2023-03-22 11:16:29,1029,1019,1019,1019,989,1069
2023-03-22 12:39:19,1029,1019,1019,1019,989,1069
2023-03-23 09:50:57,1029,1019,1019,1019,989,1069
2023-03-23 11:45:13,1029,1019,1019,1019,989,1069
2023-03-23 12:09:07,1029,1019,1019,1019,989,1069
2023-03-23 20:19:27,1029,1019,1019,1019,989,1069
2023-03-23 21:51:57,1029,1019,1019,1019,989,1069
2023-03-24 00:31:09,1029,1019,1019,1019,989,1069
2023-03-24 10:25:52,1029,1019,1019,1019,989,1069
2023-03-24 11:27:59,1029,1019,1019,1019,989,1069
2023-03-24 11:33:19,1029,1019,1019,1019,989,1069
2023-03-24 13:31:32,1029,1019,1019,1019,989,1069
2023-03-25 21:55:43,1029,1019,1019,1019,989,1069
2023-03-26 18:05:18,1029,1019,1019,1019,989,1069
2023-03-27 12:14:03,1029,1019,1019,1019,989,1069
2023-03-27 21:51:19,1029,1019,1019,1019,989,1069
2023-03-29 11:40:27,1009,999,999,999,989,1059
2023-03-30 09:49:18,1009,999,999,999,979,1059
2023-03-31 10:12:28,1009,999,999,999,979,1059
2023-04-04 09:34:47,1009,999,999,999,979,1059
2023-04-07 00:44:30,989,999,999,999,969,1049
2023-04-12 23:17:35,989,989,989,989,969,1049
2023-04-13 18:38:32,989,989,989,989,959,1049
2023-05-03 19:22:13,979,989,989,989,949,1039
2023-06-15 18:12:25,969,979,979,979,959,1019
2023-06-28 11:46:41,969,989,989,989,959,1009
2023-07-15 12:31:26,979,979,979,979,939,999
2023-09-25 19:51:47,989,989,989,989,949,1009
2023-10-09 18:56:25,999,989,989,989,959,1009
